Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Description,Manufacturer,Manufacturer Part No ,Supplier,Supplier Part No,Supplier Link,
C1,1,1000uF/25V,,,,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,CAP ALUM POLY 1000UF 20% 25V TH,KEMET,A750MV108M1EAAE014,DigiKey,399-A750MV108M1EAAE014-ND,https://www.digikey.com/en/products/detail/kemet/A750MV108M1EAAE014/13420146,
"C2,C6,C10,C12,C13,C14,C16",7,100n,,,,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,CAP CER 100NF 10V X7R 0402,Samsung Electro-Mechanics,CL05B104KP5VPNC,DigiKey,1276-CL05B104KP5VPNCCT-ND,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05B104KP5VPNC/20498482?s=N4IgjCBcoLQExVAYygFwE4FcCmAaEA9lANogCsIAugL74wTQgqQBmAhgDYDOehJ4cAOwA2KtVogEkUmAAMsgHYACWQBZZCGkA,
C3,1,4.7u,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,CAP CER 4.7UF 16V X5R 0805,Samsung Electro-Mechanics,CL21A475KOFNNNE,DigiKey,1276-1065-1-ND,https://www.digikey.com/en/products/detail/tdk/C1005X5R1A475K050BC/3951056,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A475KOFNNNE/3886723
"C4,C5,C8,C9,C11,C15",6,22u,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,CAP CER 22UF 16V X5R 0805,Samsung Electro-Mechanics,CL21A226KOQNNNE,DigiKey,1276-6526-1-ND,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A226KOQNNNE/5961010,
C7,1,4.7u,DNP,Excluded from BOM,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,CAP CER 4.7UF 16V X5R 0805,Samsung Electro-Mechanics,CL21A475KOFNNNE,DigiKey,1276-1065-1-ND,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A475KOFNNNE/3886723,
D1,1,LL4148,,,,Diode_SMD:D_MiniMELF,SWITCHING DIODE 0.3A 100V SOD-80,Lumimax Optoelectronic Technology,LL4148,DigiKey,4491-LL4148TR-ND,https://www.digikey.com/en/products/detail/lumimax-optoelectronic-technology/LL4148/24769314,
D2,1,YELLOW,,,,LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,LED YELLOW 0603 SMD,Vishay Semiconductor Opto Division,TLMY1100-GS15,DigiKey,751-TLMY1100-GS15CT-ND,https://www.digikey.com/en/products/detail/vishay-semiconductor-opto-division/TLMY1100-GS15/16652844,
D3,1,LED_RGBA,,,,LED_SMD:LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100,LED RGB CLEAR 3528 SMD,Würth Elektronik,150141M173100,DigiKey,732-4998-1-ND,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/150141M173100/4489960?s=N4IgTCBcDaIIwFYAMcAscCycDsBmOSSIAugL5A,
D4,1,LED,,,,LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,LED RED 0603 SMD,Vishay Semiconductor Opto Division,VLMS1300-GS08,DigiKey,VLMS1300-GS08CT-ND,https://www.digikey.com/en/products/detail/vishay-semiconductor-opto-division/VLMS1300-GS08/2813354,
F1,1,Fuse,,,,Fuse_1:696105003002,FUSEHOLDER BLOCKS - PCB - CLIP C,Würth Elektronik,6.96E+11,DigiKey,732-11373-ND,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/696105003002/7244557?s=N4IgTCBcDaIGwE44EYAMBWVqDMWIF0BfIA,
